experiment,display_name_zh,direction_zh,group,task_type,seeds,runs,successes,success_rate_mean,success_rate_std,avg_env_steps_mean,avg_env_steps_std,avg_success_env_steps_mean,avg_success_env_steps_std,avg_agent_turns_mean,avg_agent_turns_std,avg_llm_calls_mean,avg_llm_calls_std,invalid_action_rate_mean,invalid_action_rate_std,parse_failure_rate_mean,parse_failure_rate_std,repeated_action_rate_mean,repeated_action_rate_std,avg_prompt_tokens_mean,avg_prompt_tokens_std,avg_completion_tokens_mean,avg_completion_tokens_std,avg_total_tokens_mean,avg_total_tokens_std
random_nonmatching_2shot,方向2 Few-shot：随机非匹配 2-shot,方向2：Few-shot 数量与匹配,fewshot,pick_clean_then_place_in_recep,"0,1,2",3,"9,9,12",0.3225806451612903,0.05587260669577022,15.795698924731182,1.0110386234766893,12.064814814814815,0.057824055540725845,24.440860215053764,0.24425412240001218,24.440860215053764,0.24425412240001218,0.3798896812054707,0.016129635108477633,0.17740292461140528,0.02537821963421148,0.24097385150016729,0.020022530477208745,62529.78494623656,1109.3056402401514,313.741935483871,40.92706896401734,62843.526881720434,1150.1815720267398
random_nonmatching_2shot,方向2 Few-shot：随机非匹配 2-shot,方向2：Few-shot 数量与匹配,fewshot,pick_heat_then_place_in_recep,"0,1,2",3,"13,12,11",0.5217391304347826,0.04347826086956519,16.231884057971016,0.47891917802487954,10.367715617715618,1.578387994822652,32.73913043478261,0.8553180683872171,32.73913043478261,0.8553180683872171,0.1897829964657525,0.020612077474075917,0.03130102480268593,0.008373186514582565,0.11552681748256367,0.035255327738070455,71372.47826086957,3135.750792717189,752.8840579710145,65.5415903302016,72125.36231884058,3201.2807663579865
random_nonmatching_2shot,方向2 Few-shot：随机非匹配 2-shot,方向2：Few-shot 数量与匹配,fewshot,pick_cool_then_place_in_recep,"0,1,2",3,"7,8,8",0.36507936507936506,0.02749286996141075,16.96825396825397,0.741288535164167,8.68452380952381,0.2903273428156475,31.07936507936508,0.5245305283129623,31.07936507936508,0.5245305283129623,0.24044543926983675,0.03690064708128166,0.10417942725123576,0.0019089188555015662,0.19720034108299164,0.039565958683325665,72274.19047619047,996.7153754620969,588.3650793650794,32.182597420338475,72862.55555555555,971.5276960786664
random_nonmatching_2shot,方向2 Few-shot：随机非匹配 2-shot,方向2：Few-shot 数量与匹配,fewshot,look_at_obj_in_light,"0,1,2",3,"3,3,3",0.16666666666666666,0.0,17.333333333333332,0.8296213623926705,16.22222222222222,2.219442706159798,46.75925925925926,2.1633402765777228,46.75925925925926,2.1633402765777228,0.24911478738230855,0.009290954228740829,0.16689232141912858,0.01957361440777393,0.02240557374549638,0.0051818953068680515,115711.03703703704,7270.986688255034,1132.0740740740741,151.2886654315711,116843.11111111111,7420.461636458219
random_nonmatching_2shot,方向2 Few-shot：随机非匹配 2-shot,方向2：Few-shot 数量与匹配,fewshot,pick_two_obj_and_place,"0,1,2",3,"2,3,4",0.17647058823529413,0.058823529411764705,21.392156862745097,1.150196813808822,14.36111111111111,1.637946998645063,31.627450980392158,3.4286263520618663,31.627450980392158,3.4286263520618663,0.3238201700830064,0.01849268809541064,0.15341127677934527,0.018604828130557662,0.251418957015507,0.018325110661120123,66516.11764705883,8899.799499510533,339.7843137254902,57.109326750062856,66855.90196078431,8955.80322390105
mixed_6shot,方向2 Few-shot：六类混合 6-shot,方向2：Few-shot 数量与匹配,fewshot,pick_and_place_simple,"0,1,2",3,"20,20,20",0.8333333333333334,0.0,10.958333333333334,0.4350127712046058,11.5,0.5220153254455272,14.76388888888889,0.48292607363093626,14.76388888888889,0.48292607363093626,0.10286544993785683,0.00784639638935571,0.0903761070576255,0.0030112696712133263,0.05081083442166473,0.004304483226018006,70512.79166666667,2349.866602301311,167.91666666666666,3.1887933106079127,70680.70833333333,2353.009770677287
mixed_6shot,方向2 Few-shot：六类混合 6-shot,方向2：Few-shot 数量与匹配,fewshot,pick_clean_then_place_in_recep,"0,1,2",3,"17,17,19",0.5698924731182795,0.037248404463846856,11.612903225806452,0.14782502241793058,12.04953560371517,0.9690550845064435,18.78494623655914,0.532339518042432,18.78494623655914,0.532339518042432,0.17392472599643605,0.01890526611379395,0.17514252362410648,0.001795925096329521,0.09903344350498187,0.007067914600710768,91395.21505376343,3237.046576966399,229.3978494623656,24.556722194247047,91624.6129032258,3257.57757268181
mixed_6shot,方向2 Few-shot：六类混合 6-shot,方向2：Few-shot 数量与匹配,fewshot,pick_heat_then_place_in_recep,"0,1,2",3,"17,16,16",0.7101449275362318,0.025102185616940234,11.115942028985508,0.4789191780248785,11.53921568627451,0.5904179786911191,16.608695652173914,0.5430433042085571,16.608695652173914,0.5430433042085571,0.046816207599778635,0.009233680288261875,0.14155059973978326,0.015630668933006655,0.015580342955311998,0.0064328072960134165,80964.0,2818.5923811970656,174.44927536231884,4.808886963199145,81138.44927536232,2823.0388968461816
mixed_6shot,方向2 Few-shot：六类混合 6-shot,方向2：Few-shot 数量与匹配,fewshot,pick_cool_then_place_in_recep,"0,1,2",3,"11,10,11",0.5079365079365079,0.02749286996141078,10.285714285714286,0.4542567625794984,7.624242424242424,0.02099455524325951,16.619047619047617,0.7423074889580897,16.619047619047617,0.7423074889580897,0.03855250237695903,0.0009526493073221629,0.23679008388096381,0.0025910895235309326,0.004635509199469364,0.00019969790737710364,80532.92063492064,3835.1014958862643,152.015873015873,3.115440783805686,80684.93650793651,3838.1342737981076
mixed_6shot,方向2 Few-shot：六类混合 6-shot,方向2：Few-shot 数量与匹配,fewshot,look_at_obj_in_light,"0,1,2",3,"0,0,0",0.0,0.0,19.75925925925926,2.006419737893607,0.0,0.0,43.61111111111111,7.3669264241114565,43.61111111111111,7.3669264241114565,0.2910383597883598,0.018610205046705058,0.1658280116315102,0.06367157727744632,0.029444156889809062,0.03100152926222354,228122.83333333334,43738.241088249386,755.3703703703703,133.66551598901287,228878.2037037037,43855.74011187461
